Region,Country,Year,Series,Value
92,British Virgin Islands,2017,Net imports [Imports - Exports - Bunkers] (petajoules),2
92,British Virgin Islands,1990,Total supply (petajoules),1
92,British Virgin Islands,1995,Total supply (petajoules),2
92,British Virgin Islands,2000,Total supply (petajoules),2
92,British Virgin Islands,2005,Total supply (petajoules),3
92,British Virgin Islands,2010,Total supply (petajoules),3
92,British Virgin Islands,2015,Total supply (petajoules),3
92,British Virgin Islands,2016,Total supply (petajoules),3
92,British Virgin Islands,2017,Total supply (petajoules),2
92,British Virgin Islands,1990,Supply per capita (gigajoules),58
92,British Virgin Islands,1995,Supply per capita (gigajoules),84
92,British Virgin Islands,2000,Supply per capita (gigajoules),87
92,British Virgin Islands,2005,Supply per capita (gigajoules),115
92,British Virgin Islands,2010,Supply per capita (gigajoules),103
92,British Virgin Islands,2015,Supply per capita (gigajoules),99
92,British Virgin Islands,2016,Supply per capita (gigajoules),97
92,British Virgin Islands,2017,Supply per capita (gigajoules),77
96,Brunei Darussalam,1990,Primary energy production (petajoules),668
96,Brunei Darussalam,1995,Primary energy production (petajoules),752
96,Brunei Darussalam,2000,Primary energy production (petajoules),813
96,Brunei Darussalam,2005,Primary energy production (petajoules),848
96,Brunei Darussalam,2010,Primary energy production (petajoules),775
96,Brunei Darussalam,2015,Primary energy production (petajoules),673
96,Brunei Darussalam,2016,Primary energy production (petajoules),633
96,Brunei Darussalam,2017,Primary energy production (petajoules),652
96,Brunei Darussalam,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-594
96,Brunei Darussalam,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-683
96,Brunei Darussalam,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-744
96,Brunei Darussalam,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-772
96,Brunei Darussalam,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-648
96,Brunei Darussalam,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-560
96,Brunei Darussalam,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-512
96,Brunei Darussalam,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-505
96,Brunei Darussalam,1990,Changes in stocks (petajoules),-33
96,Brunei Darussalam,1995,Changes in stocks (petajoules),-1
96,Brunei Darussalam,2000,Changes in stocks (petajoules),-4
96,Brunei Darussalam,2005,Changes in stocks (petajoules),-1
96,Brunei Darussalam,2010,Changes in stocks (petajoules),-7
96,Brunei Darussalam,2015,Changes in stocks (petajoules),0
96,Brunei Darussalam,2016,Changes in stocks (petajoules),-3
96,Brunei Darussalam,2017,Changes in stocks (petajoules),-5
96,Brunei Darussalam,1990,Total supply (petajoules),107
96,Brunei Darussalam,1995,Total supply (petajoules),71
96,Brunei Darussalam,2000,Total supply (petajoules),73
96,Brunei Darussalam,2005,Total supply (petajoules),76
96,Brunei Darussalam,2010,Total supply (petajoules),136
96,Brunei Darussalam,2015,Total supply (petajoules),114
96,Brunei Darussalam,2016,Total supply (petajoules),124
96,Brunei Darussalam,2017,Total supply (petajoules),153
96,Brunei Darussalam,1990,Supply per capita (gigajoules),424
96,Brunei Darussalam,1995,Supply per capita (gigajoules),246
96,Brunei Darussalam,2000,Supply per capita (gigajoules),224
96,Brunei Darussalam,2005,Supply per capita (gigajoules),210
96,Brunei Darussalam,2010,Supply per capita (gigajoules),349
96,Brunei Darussalam,2015,Supply per capita (gigajoules),273
96,Brunei Darussalam,2016,Supply per capita (gigajoules),293
96,Brunei Darussalam,2017,Supply per capita (gigajoules),356
100,Bulgaria,1990,Primary energy production (petajoules),407
100,Bulgaria,1995,Primary energy production (petajoules),428
100,Bulgaria,2000,Primary energy production (petajoules),410
100,Bulgaria,2005,Primary energy production (petajoules),444
100,Bulgaria,2010,Primary energy production (petajoules),442
100,Bulgaria,2015,Primary energy production (petajoules),505
100,Bulgaria,2016,Primary energy production (petajoules),473
100,Bulgaria,2017,Primary energy production (petajoules),491
100,Bulgaria,1990,Net imports [Imports - Exports - Bunkers] (petajoules),730
100,Bulgaria,1995,Net imports [Imports - Exports - Bunkers] (petajoules),546
100,Bulgaria,2000,Net imports [Imports - Exports - Bunkers] (petajoules),358
100,Bulgaria,2005,Net imports [Imports - Exports - Bunkers] (petajoules),384
100,Bulgaria,2010,Net imports [Imports - Exports - Bunkers] (petajoules),291
100,Bulgaria,2015,Net imports [Imports - Exports - Bunkers] (petajoules),275
100,Bulgaria,2016,Net imports [Imports - Exports - Bunkers] (petajoules),285
100,Bulgaria,2017,Net imports [Imports - Exports - Bunkers] (petajoules),299
100,Bulgaria,1990,Changes in stocks (petajoules),-44
100,Bulgaria,1995,Changes in stocks (petajoules),7
100,Bulgaria,2000,Changes in stocks (petajoules),-5
100,Bulgaria,2005,Changes in stocks (petajoules),2
100,Bulgaria,2010,Changes in stocks (petajoules),-9
100,Bulgaria,2015,Changes in stocks (petajoules),6
100,Bulgaria,2016,Changes in stocks (petajoules),1
100,Bulgaria,2017,Changes in stocks (petajoules),9
100,Bulgaria,1990,Total supply (petajoules),1181
100,Bulgaria,1995,Total supply (petajoules),966
100,Bulgaria,2000,Total supply (petajoules),773
100,Bulgaria,2005,Total supply (petajoules),826
100,Bulgaria,2010,Total supply (petajoules),741
100,Bulgaria,2015,Total supply (petajoules),775
100,Bulgaria,2016,Total supply (petajoules),757
100,Bulgaria,2017,Total supply (petajoules),781
100,Bulgaria,1990,Supply per capita (gigajoules),134
100,Bulgaria,1995,Supply per capita (gigajoules),116
100,Bulgaria,2000,Supply per capita (gigajoules),97
100,Bulgaria,2005,Supply per capita (gigajoules),107
100,Bulgaria,2010,Supply per capita (gigajoules),100
100,Bulgaria,2015,Supply per capita (gigajoules),108
100,Bulgaria,2016,Supply per capita (gigajoules),106
100,Bulgaria,2017,Supply per capita (gigajoules),110
854,Burkina Faso,1990,Primary energy production (petajoules),85
854,Burkina Faso,1995,Primary energy production (petajoules),96
854,Burkina Faso,2000,Primary energy production (petajoules),69
854,Burkina Faso,2005,Primary energy production (petajoules),98
854,Burkina Faso,2010,Primary energy production (petajoules),118
854,Burkina Faso,2015,Primary energy production (petajoules),126
854,Burkina Faso,2016,Primary energy production (petajoules),128
854,Burkina Faso,2017,Primary energy production (petajoules),129
854,Burkina Faso,1990,Net imports [Imports - Exports - Bunkers] (petajoules),9
854,Burkina Faso,1995,Net imports [Imports - Exports - Bunkers] (petajoules),10
854,Burkina Faso,2000,Net imports [Imports - Exports - Bunkers] (petajoules),12
854,Burkina Faso,2005,Net imports [Imports - Exports - Bunkers] (petajoules),16
854,Burkina Faso,2010,Net imports [Imports - Exports - Bunkers] (petajoules),26
854,Burkina Faso,2015,Net imports [Imports - Exports - Bunkers] (petajoules),51
854,Burkina Faso,2016,Net imports [Imports - Exports - Bunkers] (petajoules),42
854,Burkina Faso,2017,Net imports [Imports - Exports - Bunkers] (petajoules),52
854,Burkina Faso,1990,Changes in stocks (petajoules),0
854,Burkina Faso,1995,Changes in stocks (petajoules),1
854,Burkina Faso,2000,Changes in stocks (petajoules),-1
854,Burkina Faso,2005,Changes in stocks (petajoules),0
854,Burkina Faso,2010,Changes in stocks (petajoules),-2
854,Burkina Faso,2015,Changes in stocks (petajoules),4
854,Burkina Faso,2016,Changes in stocks (petajoules),-6
854,Burkina Faso,2017,Changes in stocks (petajoules),-4
854,Burkina Faso,1990,Total supply (petajoules),93
854,Burkina Faso,1995,Total supply (petajoules),104
854,Burkina Faso,2000,Total supply (petajoules),83
854,Burkina Faso,2005,Total supply (petajoules),114
854,Burkina Faso,2010,Total supply (petajoules),145
854,Burkina Faso,2015,Total supply (petajoules),172
854,Burkina Faso,2016,Total supply (petajoules),176
854,Burkina Faso,2017,Total supply (petajoules),185
854,Burkina Faso,1990,Supply per capita (gigajoules),10
854,Burkina Faso,1995,Supply per capita (gigajoules),10
854,Burkina Faso,2000,Supply per capita (gigajoules),7
854,Burkina Faso,2005,Supply per capita (gigajoules),8
854,Burkina Faso,2010,Supply per capita (gigajoules),9
854,Burkina Faso,2015,Supply per capita (gigajoules),10
854,Burkina Faso,2016,Supply per capita (gigajoules),9
854,Burkina Faso,2017,Supply per capita (gigajoules),10
108,Burundi,1990,Primary energy production (petajoules),49
108,Burundi,1995,Primary energy production (petajoules),49
108,Burundi,2000,Primary energy production (petajoules),51
108,Burundi,2005,Primary energy production (petajoules),53
108,Burundi,2010,Primary energy production (petajoules),54
108,Burundi,2015,Primary energy production (petajoules),56
108,Burundi,2016,Primary energy production (petajoules),56
108,Burundi,2017,Primary energy production (petajoules),56
108,Burundi,1990,Net imports [Imports - Exports - Bunkers] (petajoules),4
108,Burundi,1995,Net imports [Imports - Exports - Bunkers] (petajoules),4
108,Burundi,2000,Net imports [Imports - Exports - Bunkers] (petajoules),5
108,Burundi,2005,Net imports [Imports - Exports - Bunkers] (petajoules),3
108,Burundi,2010,Net imports [Imports - Exports - Bunkers] (petajoules),5
108,Burundi,2015,Net imports [Imports - Exports - Bunkers] (petajoules),6
108,Burundi,2016,Net imports [Imports - Exports - Bunkers] (petajoules),7
108,Burundi,2017,Net imports [Imports - Exports - Bunkers] (petajoules),8
108,Burundi,1990,Changes in stocks (petajoules),0
108,Burundi,1995,Changes in stocks (petajoules),0
108,Burundi,2000,Changes in stocks (petajoules),0
108,Burundi,2005,Changes in stocks (petajoules),0
108,Burundi,2010,Changes in stocks (petajoules),0
108,Burundi,2015,Changes in stocks (petajoules),0
108,Burundi,2016,Changes in stocks (petajoules),0
108,Burundi,2017,Changes in stocks (petajoules),0
108,Burundi,1990,Total supply (petajoules),52
108,Burundi,1995,Total supply (petajoules),53
108,Burundi,2000,Total supply (petajoules),55
108,Burundi,2005,Total supply (petajoules),56
108,Burundi,2010,Total supply (petajoules),58
108,Burundi,2015,Total supply (petajoules),62
108,Burundi,2016,Total supply (petajoules),63
108,Burundi,2017,Total supply (petajoules),63
108,Burundi,1990,Supply per capita (gigajoules),9
108,Burundi,1995,Supply per capita (gigajoules),9
108,Burundi,2000,Supply per capita (gigajoules),9
108,Burundi,2005,Supply per capita (gigajoules),8
108,Burundi,2010,Supply per capita (gigajoules),7
108,Burundi,2015,Supply per capita (gigajoules),6
108,Burundi,2016,Supply per capita (gigajoules),6
108,Burundi,2017,Supply per capita (gigajoules),6
132,Cabo Verde,1990,Primary energy production (petajoules),1
132,Cabo Verde,1995,Primary energy production (petajoules),1
132,Cabo Verde,2000,Primary energy production (petajoules),1
132,Cabo Verde,2005,Primary energy production (petajoules),1
132,Cabo Verde,2010,Primary energy production (petajoules),1
132,Cabo Verde,2015,Primary energy production (petajoules),2
132,Cabo Verde,2016,Primary energy production (petajoules),2
132,Cabo Verde,2017,Primary energy production (petajoules),2
132,Cabo Verde,1990,Net imports [Imports - Exports - Bunkers] (petajoules),1
132,Cabo Verde,1995,Net imports [Imports - Exports - Bunkers] (petajoules),2
132,Cabo Verde,2000,Net imports [Imports - Exports - Bunkers] (petajoules),4
132,Cabo Verde,2005,Net imports [Imports - Exports - Bunkers] (petajoules),6
132,Cabo Verde,2010,Net imports [Imports - Exports - Bunkers] (petajoules),7
132,Cabo Verde,2015,Net imports [Imports - Exports - Bunkers] (petajoules),7
132,Cabo Verde,2016,Net imports [Imports - Exports - Bunkers] (petajoules),8
132,Cabo Verde,2017,Net imports [Imports - Exports - Bunkers] (petajoules),9
132,Cabo Verde,1990,Changes in stocks (petajoules),0
132,Cabo Verde,1990,Total supply (petajoules),2
132,Cabo Verde,1995,Total supply (petajoules),3
132,Cabo Verde,2000,Total supply (petajoules),5
132,Cabo Verde,2005,Total supply (petajoules),8
132,Cabo Verde,2010,Total supply (petajoules),9
132,Cabo Verde,2015,Total supply (petajoules),9
132,Cabo Verde,2016,Total supply (petajoules),9
132,Cabo Verde,2017,Total supply (petajoules),10
132,Cabo Verde,1990,Supply per capita (gigajoules),7
132,Cabo Verde,1995,Supply per capita (gigajoules),7
132,Cabo Verde,2000,Supply per capita (gigajoules),10
132,Cabo Verde,2005,Supply per capita (gigajoules),16
132,Cabo Verde,2010,Supply per capita (gigajoules),18
132,Cabo Verde,2015,Supply per capita (gigajoules),16
132,Cabo Verde,2016,Supply per capita (gigajoules),17
132,Cabo Verde,2017,Supply per capita (gigajoules),18
116,Cambodia,1990,Primary energy production (petajoules),103
116,Cambodia,1995,Primary energy production (petajoules),98
116,Cambodia,2000,Primary energy production (petajoules),114
116,Cambodia,2005,Primary energy production (petajoules),105
116,Cambodia,2010,Primary energy production (petajoules),152
116,Cambodia,2015,Primary energy production (petajoules),184
116,Cambodia,2016,Primary energy production (petajoules),191
116,Cambodia,2017,Primary energy production (petajoules),198
116,Cambodia,1990,Net imports [Imports - Exports - Bunkers] (petajoules),18
116,Cambodia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),22
116,Cambodia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),28
116,Cambodia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),39
116,Cambodia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),72
116,Cambodia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),111
116,Cambodia,2016,Net imports [Imports - Exports - Bunkers] (petajoules),126
116,Cambodia,2017,Net imports [Imports - Exports - Bunkers] (petajoules),139
116,Cambodia,2017,Changes in stocks (petajoules),-2
116,Cambodia,1990,Total supply (petajoules),121
116,Cambodia,1995,Total supply (petajoules),119
116,Cambodia,2000,Total supply (petajoules),142
116,Cambodia,2005,Total supply (petajoules),144
116,Cambodia,2010,Total supply (petajoules),223
116,Cambodia,2015,Total supply (petajoules),295
116,Cambodia,2016,Total supply (petajoules),318
116,Cambodia,2017,Total supply (petajoules),339
116,Cambodia,1990,Supply per capita (gigajoules),13
116,Cambodia,1995,Supply per capita (gigajoules),11
116,Cambodia,2000,Supply per capita (gigajoules),11
116,Cambodia,2005,Supply per capita (gigajoules),11
116,Cambodia,2010,Supply per capita (gigajoules),16
116,Cambodia,2015,Supply per capita (gigajoules),19
116,Cambodia,2016,Supply per capita (gigajoules),20
116,Cambodia,2017,Supply per capita (gigajoules),21
120,Cameroon,1990,Primary energy production (petajoules),501
120,Cameroon,1995,Primary energy production (petajoules),457
120,Cameroon,2000,Primary energy production (petajoules),532
120,Cameroon,2005,Primary energy production (petajoules),442
120,Cameroon,2010,Primary energy production (petajoules),351
120,Cameroon,2015,Primary energy production (petajoules),493
120,Cameroon,2016,Primary energy production (petajoules),498
120,Cameroon,2017,Primary energy production (petajoules),472
120,Cameroon,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-326
120,Cameroon,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-219
120,Cameroon,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-268
120,Cameroon,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-152
120,Cameroon,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-73
120,Cameroon,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-112
120,Cameroon,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-108
120,Cameroon,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-85
120,Cameroon,1990,Changes in stocks (petajoules),0
120,Cameroon,1995,Changes in stocks (petajoules),2
120,Cameroon,2000,Changes in stocks (petajoules),0
120,Cameroon,2005,Changes in stocks (petajoules),-5
120,Cameroon,2010,Changes in stocks (petajoules),-13
120,Cameroon,2015,Changes in stocks (petajoules),-1
120,Cameroon,2016,Changes in stocks (petajoules),0
120,Cameroon,2017,Changes in stocks (petajoules),0
120,Cameroon,1990,Total supply (petajoules),176
120,Cameroon,1995,Total supply (petajoules),237
120,Cameroon,2000,Total supply (petajoules),264
120,Cameroon,2005,Total supply (petajoules),295
120,Cameroon,2010,Total supply (petajoules),291
120,Cameroon,2015,Total supply (petajoules),381
120,Cameroon,2016,Total supply (petajoules),391
120,Cameroon,2017,Total supply (petajoules),388
120,Cameroon,1990,Supply per capita (gigajoules),14
120,Cameroon,1995,Supply per capita (gigajoules),17
120,Cameroon,2000,Supply per capita (gigajoules),17
120,Cameroon,2005,Supply per capita (gigajoules),17
120,Cameroon,2010,Supply per capita (gigajoules),15
120,Cameroon,2015,Supply per capita (gigajoules),17
120,Cameroon,2016,Supply per capita (gigajoules),17
120,Cameroon,2017,Supply per capita (gigajoules),16
124,Canada,1990,Primary energy production (petajoules),11567
124,Canada,1995,Primary energy production (petajoules),14725
124,Canada,2000,Primary energy production (petajoules),15688
124,Canada,2005,Primary energy production (petajoules),16819
124,Canada,2010,Primary energy production (petajoules),16662
124,Canada,2015,Primary energy production (petajoules),19754
124,Canada,2016,Primary energy production (petajoules),20075
124,Canada,2017,Primary energy production (petajoules),21327
124,Canada,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-2558
124,Canada,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-5089
124,Canada,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-5433
124,Canada,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-5531
124,Canada,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-6102
124,Canada,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-7935
124,Canada,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-8324
124,Canada,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-9135
124,Canada,1990,Changes in stocks (petajoules),170
124,Canada,1995,Changes in stocks (petajoules),-146
124,Canada,2000,Changes in stocks (petajoules),-351
124,Canada,2005,Changes in stocks (petajoules),-131
124,Canada,2010,Changes in stocks (petajoules),-308
124,Canada,2015,Changes in stocks (petajoules),61
124,Canada,2016,Changes in stocks (petajoules),-7
124,Canada,2017,Changes in stocks (petajoules),103
124,Canada,1990,Total supply (petajoules),8838
124,Canada,1995,Total supply (petajoules),9782
124,Canada,2000,Total supply (petajoules),10605
124,Canada,2005,Total supply (petajoules),11420
124,Canada,2010,Total supply (petajoules),10869
124,Canada,2015,Total supply (petajoules),11757
124,Canada,2016,Total supply (petajoules),11758
124,Canada,2017,Total supply (petajoules),12088
124,Canada,1990,Supply per capita (gigajoules),319
124,Canada,1995,Supply per capita (gigajoules),334
124,Canada,2000,Supply per capita (gigajoules),346
124,Canada,2005,Supply per capita (gigajoules),354
124,Canada,2010,Supply per capita (gigajoules),318
124,Canada,2015,Supply per capita (gigajoules),327
124,Canada,2016,Supply per capita (gigajoules),324
124,Canada,2017,Supply per capita (gigajoules),330
136,Cayman Islands,1990,Net imports [Imports - Exports - Bunkers] (petajoules),4
136,Cayman Islands,1995,Net imports [Imports - Exports - Bunkers] (petajoules),6
136,Cayman Islands,2000,Net imports [Imports - Exports - Bunkers] (petajoules),7
136,Cayman Islands,2005,Net imports [Imports - Exports - Bunkers] (petajoules),7
136,Cayman Islands,2010,Net imports [Imports - Exports - Bunkers] (petajoules),8
136,Cayman Islands,2015,Net imports [Imports - Exports - Bunkers] (petajoules),8
136,Cayman Islands,2016,Net imports [Imports - Exports - Bunkers] (petajoules),7
136,Cayman Islands,2017,Net imports [Imports - Exports - Bunkers] (petajoules),8
136,Cayman Islands,1990,Total supply (petajoules),4
136,Cayman Islands,1995,Total supply (petajoules),5
136,Cayman Islands,2000,Total supply (petajoules),7
136,Cayman Islands,2005,Total supply (petajoules),7
136,Cayman Islands,2010,Total supply (petajoules),8
136,Cayman Islands,2015,Total supply (petajoules),8
136,Cayman Islands,2016,Total supply (petajoules),8
136,Cayman Islands,2017,Total supply (petajoules),8
136,Cayman Islands,1990,Supply per capita (gigajoules),138
136,Cayman Islands,1995,Supply per capita (gigajoules),159
136,Cayman Islands,2000,Supply per capita (gigajoules),165
136,Cayman Islands,2005,Supply per capita (gigajoules),130
136,Cayman Islands,2010,Supply per capita (gigajoules),144
136,Cayman Islands,2015,Supply per capita (gigajoules),133
136,Cayman Islands,2016,Supply per capita (gigajoules),129
136,Cayman Islands,2017,Supply per capita (gigajoules),135
140,Central African Republic,1990,Primary energy production (petajoules),28
140,Central African Republic,1995,Primary energy production (petajoules),28
140,Central African Republic,2000,Primary energy production (petajoules),19
140,Central African Republic,2005,Primary energy production (petajoules),19
140,Central African Republic,2010,Primary energy production (petajoules),19
140,Central African Republic,2015,Primary energy production (petajoules),19
140,Central African Republic,2016,Primary energy production (petajoules),19
140,Central African Republic,2017,Primary energy production (petajoules),19
140,Central African Republic,1990,Net imports [Imports - Exports - Bunkers] (petajoules),3
140,Central African Republic,1995,Net imports [Imports - Exports - Bunkers] (petajoules),3
140,Central African Republic,2000,Net imports [Imports - Exports - Bunkers] (petajoules),4
140,Central African Republic,2005,Net imports [Imports - Exports - Bunkers] (petajoules),3
140,Central African Republic,2010,Net imports [Imports - Exports - Bunkers] (petajoules),4
140,Central African Republic,2015,Net imports [Imports - Exports - Bunkers] (petajoules),5
140,Central African Republic,2016,Net imports [Imports - Exports - Bunkers] (petajoules),5
140,Central African Republic,2017,Net imports [Imports - Exports - Bunkers] (petajoules),4
140,Central African Republic,1990,Changes in stocks (petajoules),0
140,Central African Republic,1995,Changes in stocks (petajoules),0
140,Central African Republic,2000,Changes in stocks (petajoules),0
140,Central African Republic,1990,Total supply (petajoules),31
140,Central African Republic,1995,Total supply (petajoules),31
140,Central African Republic,2000,Total supply (petajoules),22
140,Central African Republic,2005,Total supply (petajoules),22
140,Central African Republic,2010,Total supply (petajoules),23
140,Central African Republic,2015,Total supply (petajoules),23
140,Central African Republic,2016,Total supply (petajoules),23
140,Central African Republic,2017,Total supply (petajoules),23
140,Central African Republic,1990,Supply per capita (gigajoules),11
140,Central African Republic,1995,Supply per capita (gigajoules),9
140,Central African Republic,2000,Supply per capita (gigajoules),6
140,Central African Republic,2005,Supply per capita (gigajoules),5
140,Central African Republic,2010,Supply per capita (gigajoules),5
140,Central African Republic,2015,Supply per capita (gigajoules),5
140,Central African Republic,2016,Supply per capita (gigajoules),5
140,Central African Republic,2017,Supply per capita (gigajoules),5
148,Chad,1990,Primary energy production (petajoules),43
148,Chad,1995,Primary energy production (petajoules),48
148,Chad,2000,Primary energy production (petajoules),55
148,Chad,2005,Primary energy production (petajoules),433
148,Chad,2010,Primary energy production (petajoules),324
148,Chad,2015,Primary energy production (petajoules),375
148,Chad,2016,Primary energy production (petajoules),347
148,Chad,2017,Primary energy production (petajoules),318
148,Chad,1990,Net imports [Imports - Exports - Bunkers] (petajoules),5
148,Chad,1995,Net imports [Imports - Exports - Bunkers] (petajoules),6
148,Chad,2000,Net imports [Imports - Exports - Bunkers] (petajoules),7
148,Chad,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-362
148,Chad,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-245
148,Chad,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-297
148,Chad,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-263
148,Chad,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-233
148,Chad,1990,Changes in stocks (petajoules),0
148,Chad,1995,Changes in stocks (petajoules),0
148,Chad,1990,Total supply (petajoules),48
148,Chad,1995,Total supply (petajoules),54
148,Chad,2000,Total supply (petajoules),62
148,Chad,2005,Total supply (petajoules),71
148,Chad,2010,Total supply (petajoules),80
148,Chad,2015,Total supply (petajoules),79
148,Chad,2016,Total supply (petajoules),84
148,Chad,2017,Total supply (petajoules),85
148,Chad,1990,Supply per capita (gigajoules),8
148,Chad,1995,Supply per capita (gigajoules),8
148,Chad,2000,Supply per capita (gigajoules),7
148,Chad,2005,Supply per capita (gigajoules),7
148,Chad,2010,Supply per capita (gigajoules),7
148,Chad,2015,Supply per capita (gigajoules),6
148,Chad,2016,Supply per capita (gigajoules),6
148,Chad,2017,Supply per capita (gigajoules),6
152,Chile,1990,Primary energy production (petajoules),328
152,Chile,1995,Primary energy production (petajoules),346
152,Chile,2000,Primary energy production (petajoules),359
152,Chile,2005,Primary energy production (petajoules),391
152,Chile,2010,Primary energy production (petajoules),386
152,Chile,2015,Primary energy production (petajoules),541
152,Chile,2016,Primary energy production (petajoules),525
152,Chile,2017,Primary energy production (petajoules),543
152,Chile,1990,Net imports [Imports - Exports - Bunkers] (petajoules),289
152,Chile,1995,Net imports [Imports - Exports - Bunkers] (petajoules),444
152,Chile,2000,Net imports [Imports - Exports - Bunkers] (petajoules),730
152,Chile,2005,Net imports [Imports - Exports - Bunkers] (petajoules),800
152,Chile,2010,Net imports [Imports - Exports - Bunkers] (petajoules),894
152,Chile,2015,Net imports [Imports - Exports - Bunkers] (petajoules),974
152,Chile,2016,Net imports [Imports - Exports - Bunkers] (petajoules),1064
152,Chile,2017,Net imports [Imports - Exports - Bunkers] (petajoules),1063
152,Chile,1990,Changes in stocks (petajoules),24
152,Chile,1995,Changes in stocks (petajoules),10
152,Chile,2000,Changes in stocks (petajoules),8
152,Chile,2005,Changes in stocks (petajoules),3
152,Chile,2010,Changes in stocks (petajoules),-6
152,Chile,2015,Changes in stocks (petajoules),4
152,Chile,2016,Changes in stocks (petajoules),6
152,Chile,2017,Changes in stocks (petajoules),4
152,Chile,1990,Total supply (petajoules),593
152,Chile,1995,Total supply (petajoules),780
152,Chile,2000,Total supply (petajoules),1082
152,Chile,2005,Total supply (petajoules),1187
152,Chile,2010,Total supply (petajoules),1286
152,Chile,2015,Total supply (petajoules),1510
152,Chile,2016,Total supply (petajoules),1582
152,Chile,2017,Total supply (petajoules),1603
152,Chile,1990,Supply per capita (gigajoules),45
152,Chile,1995,Supply per capita (gigajoules),54
152,Chile,2000,Supply per capita (gigajoules),70
152,Chile,2005,Supply per capita (gigajoules),73
152,Chile,2010,Supply per capita (gigajoules),76
152,Chile,2015,Supply per capita (gigajoules),85
152,Chile,2016,Supply per capita (gigajoules),88
152,Chile,2017,Supply per capita (gigajoules),89
156,China,1990,Primary energy production (petajoules),32727
156,China,1995,Primary energy production (petajoules),39692
156,China,2000,Primary energy production (petajoules),40783
156,China,2005,Primary energy production (petajoules),63831
156,China,2010,Primary energy production (petajoules),88642
156,China,2015,Primary energy production (petajoules),100864
156,China,2016,Primary energy production (petajoules),95802
156,China,2017,Primary energy production (petajoules),99218
156,China,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-1370
156,China,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-397
156,China,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1426
156,China,2005,Net imports [Imports - Exports - Bunkers] (petajoules),4251
156,China,2010,Net imports [Imports - Exports - Bunkers] (petajoules),14225
156,China,2015,Net imports [Imports - Exports - Bunkers] (petajoules),18874
156,China,2016,Net imports [Imports - Exports - Bunkers] (petajoules),21705
156,China,2017,Net imports [Imports - Exports - Bunkers] (petajoules),24290
156,China,1990,Changes in stocks (petajoules),959
156,China,1995,Changes in stocks (petajoules),132
156,China,2000,Changes in stocks (petajoules),-251
156,China,2005,Changes in stocks (petajoules),-752
156,China,2010,Changes in stocks (petajoules),1248
156,China,2015,Changes in stocks (petajoules),-187
156,China,2016,Changes in stocks (petajoules),-2375
156,China,2017,Changes in stocks (petajoules),-91
156,China,1990,Total supply (petajoules),30398
156,China,1995,Total supply (petajoules),39163
156,China,2000,Total supply (petajoules),42461
156,China,2005,Total supply (petajoules),68833
156,China,2010,Total supply (petajoules),101618
156,China,2015,Total supply (petajoules),119926
156,China,2016,Total supply (petajoules),119882
156,China,2017,Total supply (petajoules),123598
156,China,1990,Supply per capita (gigajoules),27
156,China,1995,Supply per capita (gigajoules),32
156,China,2000,Supply per capita (gigajoules),33
156,China,2005,Supply per capita (gigajoules),53
156,China,2010,Supply per capita (gigajoules),75
156,China,2015,Supply per capita (gigajoules),86
156,China,2016,Supply per capita (gigajoules),85
156,China,2017,Supply per capita (gigajoules),88
344,"China, Hong Kong SAR",1990,Net imports [Imports - Exports - Bunkers] (petajoules),321
344,"China, Hong Kong SAR",1995,Net imports [Imports - Exports - Bunkers] (petajoules),382
